car_no,CAR BRAND NAME,car_status,listed,First Listing Date,Sale date,Days
Car No-1,Brand-A,Not Sold,TRUE,2021-06-20,,
Car No-2,Brand-B,Sold,TRUE,2020-08-11,2020-10-30,80
Car No-3,Brand-C,Not Sold,FALSE,,,
Car No-4,Brand-C,Sold,TRUE,2020-08-13,2020-11-30,109
Car No-5,Brand-C,Not Sold,FALSE,,,
Car No-6,Brand-C,Sold,TRUE,2020-08-26,2020-11-13,79
Car No-7,Brand-B,Sold,TRUE,2020-09-16,2020-12-10,85
Car No-8,Brand-D,Sold,TRUE,2020-10-05,2020-12-24,80
Car No-9,Brand-B,Sold,TRUE,2020-10-14,2021-04-22,190
Car No-10,Brand-E,Sold,TRUE,2020-10-25,2020-11-26,32
Car No-11,Brand-B,Sold,TRUE,2020-11-25,2021-04-02,128
Car No-12,Brand-B,Sold,TRUE,2020-12-05,2021-02-11,68
Car No-13,Brand-F,Not Sold,TRUE,2020-12-17,,
Car No-14,Brand-F,Sold,TRUE,2021-01-01,2021-01-18,17
Car No-15,Brand-B,Sold,TRUE,2021-01-15,2021-03-20,64
Car No-16,Brand-F,Sold,TRUE,2021-02-06,2021-02-26,20
Car No-17,Brand-C,Sold,TRUE,2021-02-23,2021-04-24,60
Car No-18,Brand-C,Sold,TRUE,2021-03-03,2021-04-28,56
Car No-19,Brand-G,Sold,TRUE,2021-03-08,2021-04-16,39
Car No-20,Brand-C,Not Sold,TRUE,2021-03-12,,
Car No-21,Brand-B,Not Sold,TRUE,2021-03-19,,
Car No-22,Brand-H,Not Sold,TRUE,2021-03-23,,
Car No-23,Brand-B,Not Sold,TRUE,2021-03-26,,
Car No-24,Brand-C,Sold,TRUE,2021-03-31,2021-05-28,58
Car No-25,Brand-B,Sold,TRUE,2021-04-05,2021-05-08,33
Car No-26,Brand-D,Not Sold,TRUE,2021-04-08,,
Car No-27,Brand-B,Sold,TRUE,2021-04-12,2021-04-27,15
Car No-28,Brand-B,Not Sold,TRUE,2021-04-17,,
Car No-29,Brand-B,Not Sold,TRUE,2021-04-22,,
Car No-30,Brand-C,Not Sold,TRUE,2021-05-05,,
Car No-31,Brand-G,Not Sold,TRUE,2021-05-04,,
Car No-32,Brand-I,Not Sold,TRUE,2021-05-26,,
Car No-33,Brand-J,Not Sold,TRUE,2021-05-11,,
Car No-34,Brand-C,Not Sold,TRUE,2021-05-21,,
Car No-35,Brand-B,Not Sold,TRUE,2021-05-25,,
Car No-36,Brand-B,Not Sold,TRUE,2021-06-14,,
Car No-37,Brand-C,Not Sold,TRUE,2021-06-09,,
Car No-38,Brand-B,Not Sold,TRUE,2021-06-22,,
Car No-39,Brand-B,Not Sold,FALSE,,,
Car No-40,Brand-K,Not Sold,FALSE,,,
Car No-41,Brand-C,Sold,TRUE,2020-08-13,2021-04-26,256
Car No-42,Brand-K,Not Sold,FALSE,,,
Car No-43,Brand-B,Sold,TRUE,2020-09-01,2020-11-05,65
Car No-44,Brand-F,Sold,TRUE,2020-09-17,2020-12-31,105
Car No-45,Brand-B,Sold,TRUE,2020-10-11,2021-01-23,104
Car No-46,Brand-I,Sold,TRUE,2020-10-14,2021-03-25,162
Car No-47,Brand-B,Sold,TRUE,2020-10-25,2020-12-15,51
Car No-48,Brand-C,Sold,TRUE,2020-11-25,2021-01-07,43
Car No-49,Brand-I,Sold,TRUE,2020-12-07,2021-03-06,89
Car No-50,Brand-D,Not Sold,TRUE,2020-12-17,,
Car No-51,Brand-B,Not Sold,TRUE,2021-01-03,,
Car No-52,Brand-E,Not Sold,TRUE,2021-01-19,,
